Timestamp,Voltage (mV),Temperature
2024-12-04 15:25:06,,25.48
2024-12-04 15:25:07,-0.01,
2024-12-04 15:25:08,-0.0,25.48
2024-12-04 15:25:09,-0.0,25.48
2024-12-04 15:25:10,-0.01,25.47
2024-12-04 15:25:11,-0.01,25.48
2024-12-04 15:25:12,-0.01,25.47
2024-12-04 15:25:13,-0.01,25.48
2024-12-04 15:25:14,-0.0,25.47
2024-12-04 15:25:15,-0.0,25.48
2024-12-04 15:25:16,0.0,
2024-12-04 15:25:17,0.0,25.5
2024-12-04 15:25:18,,25.48
2024-12-04 15:25:19,0.0,25.48
2024-12-04 15:25:20,0.01,25.45
2024-12-04 15:25:21,0.01,25.48
2024-12-04 15:25:22,0.01,25.47
2024-12-04 15:25:23,0.01,25.47
2024-12-04 15:25:24,0.01,
2024-12-04 15:25:25,0.01,25.44
2024-12-04 15:25:26,0.01,25.45
2024-12-04 15:25:27,0.01,25.45
2024-12-04 15:25:28,0.01,25.47
2024-12-04 15:25:29,-0.54,25.47
2024-12-04 15:25:30,-0.41,25.44
2024-12-04 15:25:31,-0.34,25.47
2024-12-04 15:25:32,-0.28,25.45
2024-12-04 15:25:34,-0.23,25.45
2024-12-04 15:25:35,-0.2,25.45
2024-12-04 15:25:36,-0.16,25.45
2024-12-04 15:25:37,-0.13,25.47
2024-12-04 15:25:38,-0.1,25.45
2024-12-04 15:25:39,-0.08,25.47
2024-12-04 15:25:40,-0.06,25.47
2024-12-04 15:25:41,-0.05,
2024-12-04 15:25:42,-0.03,25.45
2024-12-04 15:25:43,-0.02,25.45
2024-12-04 15:25:44,-0.02,25.44
2024-12-04 15:25:45,-0.01,25.44
2024-12-04 15:25:46,-0.01,25.44
2024-12-04 15:25:47,-0.0,25.44
2024-12-04 15:25:48,-0.0,25.45
2024-12-04 15:25:49,,25.44
2024-12-04 15:25:50,-0.0,
2024-12-04 15:25:51,0.01,25.44
2024-12-04 15:25:52,0.01,25.44
2024-12-04 15:25:53,0.01,25.42
2024-12-04 15:25:54,0.01,25.45
2024-12-04 15:25:55,0.02,25.42
2024-12-04 15:25:56,0.02,25.42
2024-12-04 15:25:57,0.02,25.42
2024-12-04 15:25:58,0.02,
2024-12-04 15:25:59,0.02,25.42
2024-12-04 15:26:00,0.02,25.44
2024-12-04 15:26:01,0.02,25.42
2024-12-04 15:26:02,0.02,25.41
2024-12-04 15:26:03,0.02,25.42
2024-12-04 15:26:04,0.02,25.42
2024-12-04 15:26:05,,25.41
2024-12-04 15:26:06,0.02,25.44
2024-12-04 15:26:07,0.02,
2024-12-04 15:26:08,0.02,25.41
2024-12-04 15:26:09,0.02,25.41
2024-12-04 15:26:10,0.02,25.42
2024-12-04 15:26:11,0.02,25.41
2024-12-04 15:26:12,0.02,25.41
2024-12-04 15:26:13,0.02,25.41
2024-12-04 15:26:14,0.02,25.41
2024-12-04 15:26:15,0.02,
2024-12-04 15:26:16,0.02,25.39
2024-12-04 15:26:17,0.02,25.41
2024-12-04 15:26:18,0.02,25.41
2024-12-04 15:26:19,0.03,25.39
2024-12-04 15:26:20,,25.42
2024-12-04 15:26:21,0.03,25.41
2024-12-04 15:26:22,0.03,25.41
2024-12-04 15:26:23,0.03,25.37
2024-12-04 15:26:24,0.03,
2024-12-04 15:26:25,0.03,25.42
2024-12-04 15:26:26,0.03,25.39
2024-12-04 15:26:27,0.03,25.39
2024-12-04 15:26:28,0.03,25.41
2024-12-04 15:26:29,0.03,25.41
2024-12-04 15:26:30,0.03,25.41
2024-12-04 15:26:31,0.03,25.42
2024-12-04 15:26:32,0.03,
2024-12-04 15:26:33,0.03,25.41
2024-12-04 15:26:34,0.03,25.42
2024-12-04 15:26:35,0.03,25.41
2024-12-04 15:26:36,,25.44
2024-12-04 15:26:37,0.03,25.41
2024-12-04 15:26:38,0.03,25.42
2024-12-04 15:26:39,0.03,25.37
2024-12-04 15:26:40,0.03,25.37
2024-12-04 15:26:41,0.03,
2024-12-04 15:26:42,0.03,25.39
2024-12-04 15:26:43,0.03,25.41
2024-12-04 15:26:44,0.03,25.37
2024-12-04 15:26:45,0.03,25.39
2024-12-04 15:26:46,0.03,25.37
2024-12-04 15:26:47,0.03,25.37
2024-12-04 15:26:48,0.03,25.37
2024-12-04 15:26:49,0.03,
2024-12-04 15:26:50,0.03,25.37
2024-12-04 15:26:51,,25.36
2024-12-04 15:26:52,0.03,25.34
2024-12-04 15:26:53,0.03,25.34
2024-12-04 15:26:54,0.03,25.37
2024-12-04 15:26:55,0.03,25.34
2024-12-04 15:26:56,0.03,25.34
2024-12-04 15:26:57,0.03,25.36
2024-12-04 15:26:58,0.03,
2024-12-04 15:26:59,0.03,25.33
2024-12-04 15:27:00,0.03,25.33
2024-12-04 15:27:01,0.03,25.34
2024-12-04 15:27:02,0.03,25.33
2024-12-04 15:27:03,0.03,25.33
2024-12-04 15:27:04,0.03,25.31
2024-12-04 15:27:05,0.02,25.31
2024-12-04 15:27:06,0.02,
2024-12-04 15:27:07,,25.3
2024-12-04 15:27:08,0.02,25.31
2024-12-04 15:27:09,0.02,25.33
2024-12-04 15:27:10,0.02,25.31
2024-12-04 15:27:11,0.02,25.3
2024-12-04 15:27:12,0.02,25.28
2024-12-04 15:27:13,0.02,25.3
2024-12-04 15:27:14,0.02,25.28
2024-12-04 15:27:15,0.02,
2024-12-04 15:27:16,0.02,25.3
2024-12-04 15:27:17,0.02,25.27
2024-12-04 15:27:18,0.02,25.27
2024-12-04 15:27:19,0.02,25.27
2024-12-04 15:27:20,0.01,25.27
2024-12-04 15:27:21,0.01,25.27
2024-12-04 15:27:22,0.01,25.25
2024-12-04 15:27:24,0.01,25.27
2024-12-04 15:27:25,0.01,25.25
2024-12-04 15:27:26,0.01,25.25
2024-12-04 15:27:27,0.01,25.27
2024-12-04 15:27:28,0.01,25.25
2024-12-04 15:27:29,0.01,25.23
2024-12-04 15:27:30,0.01,25.23
2024-12-04 15:27:31,0.01,
